left_player,right_player
-0.01,0.0
-0.01,0.1
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,0.09
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.1,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.1,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.1
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.1,-0.01
0.0,-0.01
0.1,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.1
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.1,0.09
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.1,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.1,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.1
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.1,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.1
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.1,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.1,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.1
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,0.09
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,0.09
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.1
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.1
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.1,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.1,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.1,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.1,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.1
0.0,0.09
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.1,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.1
0.1,0.09
0.0,-0.01
0.1,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.1,-0.01
0.1,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.1,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.1,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.1,-0.01
0.0,-0.01
0.09,0.1
0.0,-0.01
0.1,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.1
0.1,-0.01
-0.01,0.1
0.1,0.09
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.1,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.1
-0.01,0.0
-0.01,0.1
-0.01,0.0
-0.01,0.1
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.1,-0.01
0.0,0.09
0.1,0.09
-0.01,0.0
0.1,-0.01
-0.01,0.0
-0.01,0.1
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.1,0.09
-0.01,0.0
0.1,-0.01
-0.01,0.1
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,0.09
-0.01,0.0
0.1,0.09
-0.01,0.0
-0.01,0.0
0.1,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.1
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.1,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.1
-0.01,0.0
-0.01,0.0
0.1,0.09
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.1,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.1,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.1,-0.01
-0.01,0.0
-0.01,0.0
0.0,0.09
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.1,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.2,0.19
-0.01,0.0
0.0,0.09
0.0,-0.01
-0.01,0.0
-0.01,0.1
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.1,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.1,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.1
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.1
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,0.09
-0.01,0.1
-0.01,0.0
-0.01,0.1
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,0.09
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.1,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,0.09
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,0.09
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,0.09
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.09,0.1
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.1,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,0.09
-0.01,0.0
0.0,-0.01
0.1,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,0.09
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.09,0.1
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.09,0.1
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.1,0.09
0.1,0.09
0.0,-0.01
0.1,-0.01
0.1,-0.01
-0.01,0.1
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.1,-0.01
0.0,0.09
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,0.09
0.1,-0.01
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,0.09
0.0,-0.01
-0.01,0.0
-0.01,0.1
-0.01,0.1
0.0,-0.01
0.0,-0.01
0.0,0.09
0.0,-0.01
0.0,0.09
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.1
0.09,0.1
0.1,-0.01
-0.01,0.0
0.1,0.09
0.0,0.09
-0.01,0.0
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.09,0.1
-0.01,0.0
0.0,0.09
0.0,0.09
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,0.09
0.0,-0.01
0.1,0.09
0.0,0.09
-0.01,0.0
0.1,0.09
0.0,-0.01
0.1,-0.01
0.1,-0.01
0.0,-0.01
0.1,0.09
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,0.09
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.1,0.09
0.0,-0.01
0.1,-0.01
-0.01,0.0
0.1,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,0.09
0.0,0.09
0.0,0.09
-0.01,0.0
0.0,-0.01
-0.01,0.0
0.0,0.09
-0.01,0.0
0.1,0.09
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
0.0,0.09
0.1,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.1
0.1,-0.01
-0.01,0.0
0.0,0.09
0.2,0.09
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.1,0.09
0.0,-0.01
0.09,0.1
0.0,0.09
-0.01,0.0
-0.01,0.0
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.1
0.0,-0.01
0.0,0.09
0.0,0.09
0.1,0.09
0.1,-0.01
-0.01,0.0
0.1,-0.01
-0.01,0.1
0.0,0.09
0.0,-0.01
0.1,-0.01
0.1,0.09
0.1,-0.01
-0.01,0.0
-0.01,0.1
0.1,-0.01
0.0,0.09
0.09,0.2
0.1,-0.01
0.0,0.09
0.0,-0.01
0.0,-0.01
-0.01,0.1
0.1,-0.01
0.0,0.09
-0.01,0.1
-0.01,0.1
0.09,0.0
-0.01,0.0
0.0,-0.01
0.1,-0.01
0.09,0.2
0.0,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.1
0.0,0.09
0.0,-0.01
-0.01,0.1
-0.01,0.0
0.1,-0.01
-0.01,0.0
-0.01,0.1
0.29000002,0.3
-0.01,0.0
0.0,0.09
0.0,-0.01
-0.01,0.0
0.1,-0.01
-0.01,0.1
-0.01,0.1
0.0,-0.01
-0.01,0.0
0.1,0.09
-0.01,0.0
0.1,0.19
0.0,-0.01
0.0,-0.01
0.1,-0.01
0.09,0.1
0.0,-0.01
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.0,0.09
0.0,-0.01
0.0,-0.01
0.1,-0.01
0.0,0.09
0.2,0.09
0.1,-0.01
0.0,-0.01
0.2,-0.01
-0.01,0.1
0.1,-0.01
0.0,0.09
-0.01,0.0
0.0,0.09
0.1,0.09
-0.01,0.0
-0.01,0.1
0.1,-0.01
0.0,0.09
-0.01,0.1
0.09,0.2
0.1,-0.01
0.0,0.09
-0.01,0.0
0.1,-0.01
0.1,-0.01
0.1,-0.01
0.1,-0.01
0.1,-0.01
0.0,0.09
0.0,-0.01
-0.01,0.0
-0.01,0.0
-0.01,0.0
0.1,-0.01
0.1,-0.01
0.0,-0.01
0.0,-0.01
-0.01,0.0
0.0,0.09
0.1,-0.01
0.0,0.09
0.09,0.1
0.1,-0.01
-0.01,0.1
-0.01,0.0
0.0,0.09
0.0,0.09
0.1,0.09
0.09,0.1
-0.01,0.1
0.1,-0.01
0.1,0.09
0.0,-0.01
0.19,0.2
-0.01,0.0
0.0,-0.01
0.2,0.19
0.0,-0.01
-0.01,0.1
-0.01,0.0
0.09,0.1
0.0,-0.01
0.1,-0.01
0.1,0.09
0.1,-0.01
0.2,0.09
0.0,-0.01
0.1,-0.01
0.1,0.09
0.0,-0.01
0.1,-0.01
-0.01,0.0
-0.01,0.1
-0.01,0.1
0.0,-0.01
0.1,-0.01
-0.01,0.1
0.0,0.09
0.1,0.09
0.1,-0.01
0.0,0.09
0.09,0.1
0.09,0.1
-0.01,0.1
-0.01,0.0
0.0,-0.01
0.1,-0.01
0.09,0.1
0.1,-0.01
-0.01,0.1
0.0,-0.01
0.09,0.1
0.0,0.09
0.2,0.09
0.1,-0.01
0.0,-0.01
0.1,0.19
0.1,-0.01
-0.01,0.0
0.1,0.09
0.1,-0.01
0.0,-0.01
0.0,0.09
-0.01,0.1
0.1,-0.01
0.2,0.19
0.0,-0.01
-0.01,0.0
0.0,0.09
0.09,0.1
0.0,-0.01
0.1,-0.01
0.0,-0.01
-0.01,0.1
0.0,0.09
0.0,-0.01
0.2,0.19
0.0,-0.01
-0.01,0.1
0.1,0.09
0.0,-0.01
0.1,-0.01
-0.01,0.1
0.0,0.09
-0.01,0.0
0.1,-0.01
-0.01,0.0
0.1,-0.01
-0.01,0.0
0.1,-0.01
0.1,-0.01
0.0,0.09
